Date,Open,High,Low,Close,AdjClose,Volume
1/2/15,14.858,14.883333,14.217333,14.620667,14.620667,71466000
1/5/15,14.303333,14.433333,13.810667,14.006,14.006,80527500
1/6/15,14.004,14.28,13.614,14.085333,14.085333,93928500
1/7/15,14.223333,14.318667,13.985333,14.063333,14.063333,44526000
1/8/15,14.187333,14.253333,14.000667,14.041333,14.041333,51637500
1/9/15,13.928,13.998667,13.664,13.777333,13.777333,70024500
1/12/15,13.536667,13.631333,13.283333,13.480667,13.480667,89254500
1/13/15,13.554667,13.840667,13.394,13.616667,13.616667,67159500
1/14/15,12.388667,13.013333,12.333333,12.846,12.846,173278500
1/15/15,12.966,13.05,12.666667,12.791333,12.791333,78247500
1/16/15,12.713333,12.966,12.643333,12.871333,12.871333,54048000
1/20/15,12.924667,12.941333,12.469333,12.795333,12.795333,67548000
1/21/15,12.636667,13.245333,12.634,13.104667,13.104667,62295000
1/22/15,13.133333,13.549333,13.013333,13.441333,13.441333,61753500
1/23/15,13.352667,13.566667,13.222,13.419333,13.419333,51579000
1/26/15,13.455333,13.908,13.403333,13.77,13.77,48517500
1/27/15,13.628,13.868667,13.553333,13.732,13.732,41715000
1/28/15,13.740667,13.758,13.228,13.291333,13.291333,47244000
1/29/15,13.404667,13.732,13.1,13.68,13.68,53221500
1/30/15,13.597333,13.831333,13.533333,13.573333,13.573333,45105000
2/2/15,13.598,14.13,13.553333,14.062667,14.062667,62238000
2/3/15,14.214667,14.691333,14.084667,14.557333,14.557333,72393000
2/4/15,14.552667,14.765333,14.453333,14.57,14.57,49581000
2/5/15,14.658667,15.032,14.642667,14.732667,14.732667,52843500
2/6/15,14.8,14.893333,14.433333,14.490667,14.490667,48658500
2/9/15,14.358667,14.528667,14.132667,14.498667,14.498667,52086000
2/10/15,14.503333,14.7,14.333333,14.419333,14.419333,80857500
2/11/15,14.147333,14.316,13.818667,14.186667,14.186667,146536500
2/12/15,12.904667,13.539333,12.885333,13.525333,13.525333,234744000
2/13/15,13.526667,13.732667,13.394,13.584667,13.584667,92865000
2/17/15,13.713333,13.713333,13.433333,13.623333,13.623333,59694000
2/18/15,13.611333,13.744667,13.506667,13.630667,13.630667,40704000
2/19/15,13.666667,14.162667,13.583333,14.114,14.114,77311500
2/20/15,14.052,14.506667,13.987333,14.474,14.474,89731500
2/23/15,14.377333,14.546667,13.755333,13.822667,13.822667,127497000
2/24/15,13.819333,13.819333,13.446667,13.607333,13.607333,99054000
2/25/15,13.662667,13.809333,13.505333,13.584,13.584,58642500
2/26/15,13.6,14.072667,13.481333,13.812667,13.812667,97093500
2/27/15,13.793333,13.903333,13.52,13.556,13.556,58231500
3/2/15,13.513333,13.556,13.055333,13.155333,13.155333,118831500
3/3/15,13.120667,13.349333,13.021333,13.304,13.304,66484500
3/4/15,13.283333,13.501333,13.147333,13.496,13.496,63330000
