Date,Open,High,Low,Close,AdjClose,Volume
1/1/15,14.858,14.883333,13.614,14.063333,14.063333,290448000
1/8/15,14.187333,14.253333,12.333333,12.846,12.846,451354500
1/15/15,12.966,13.245333,12.469333,13.104667,13.104667,262138500
1/22/15,13.133333,13.908,13.013333,13.291333,13.291333,250809000
1/29/15,13.404667,14.765333,13.1,14.57,14.57,282538500
2/5/15,14.658667,15.032,13.818667,14.186667,14.186667,380982000
2/12/15,12.904667,13.744667,12.885333,13.630667,13.630667,428007000
2/19/15,13.666667,14.546667,13.446667,13.584,13.584,452236500
2/26/15,13.6,14.072667,13.021333,13.496,13.496,403971000
3/5/15,13.523333,13.746,12.506667,12.916,12.916,433210500
3/12/15,12.916667,13.392,12.488,13.380667,13.380667,373911000
3/19/15,13.466667,13.639333,12.846667,12.953333,12.953333,371349000
3/26/15,12.928,12.986,12.093333,12.506,12.506,474654000
4/2/15,12.682,14.06,12.666667,13.844667,13.844667,421758000
4/9/15,13.895333,14.2,13.7,13.855333,13.855333,249067500
4/16/15,13.846667,14.792,13.566667,14.629333,14.629333,269757000
4/23/15,14.551333,15.916667,14.476667,15.496667,15.496667,427996500
4/30/15,15.359333,15.966667,14.694,15.362,15.362,370440000
5/7/15,14.733333,16.553333,14.683333,16.212,16.212,474000000
5/14/15,16.321333,16.733334,16.083332,16.290001,16.290001,273097500
5/21/15,16.202,16.799999,16.157333,16.495333,16.495333,166509000
5/28/15,16.468666,16.858,16.336666,16.599333,16.599333,207870000
6/4/15,16.5,17.25,16.378668,16.713333,16.713333,248373000
6/11/15,16.884001,17.624001,16.400667,17.360666,17.360666,197253000
6/18/15,17.466667,17.866667,17.046,17.677999,17.677999,241348500
6/25/15,17.763332,18.174667,17.379999,17.943333,17.943333,230319000
7/2/15,18.68,18.83,16.954,16.997334,16.997334,354180000
7/9/15,17.271999,17.832666,17.07,17.542667,17.542667,192517500
7/16/15,17.614668,19.110001,17.390667,17.858,17.858,312184500
7/23/15,17.976667,18.072666,16.719334,17.587999,17.587999,246657000
7/30/15,17.512667,18.066668,17.138,18.008667,18.008667,230662500
8/6/15,16.636,17,15.516,15.878,15.878,478140000
8/13/15,15.990667,17.396667,15.941333,17.016666,17.016666,360450000
8/20/15,16.804001,16.970667,13,14.989333,14.989333,455518500
8/27/15,15.4,16.996668,15.387333,16.512667,16.512667,419308500
9/3/15,16.804001,16.950001,15.88,16.594,16.594,216195000
9/10/15,16.482,17.525333,16.315332,17.483334,17.483334,229519500
9/17/15,17.597334,18.104668,17.053333,17.403999,17.403999,296014500
9/24/15,17.302,17.794001,16.156,16.559999,16.559999,311332500
10/1/15,16.500668,16.656,15.274667,15.464,15.464,370891500
10/8/15,15.338667,15.381333,14.075333,14.458667,14.458667,366057000
10/15/15,14.428667,15.41,13.466667,14.006,14.006,431071500
10/22/15,14.104,14.473333,13.834,14.197333,14.197333,250501500
10/29/15,14.116667,15.516,13.592667,15.442,15.442,468460500
11/5/15,15.372,15.638667,14.242,14.605333,14.605333,281367000
11/12/15,14.523333,14.758667,13.72,14.738,14.738,213483000
11/19/15,14.702667,15.388667,14.238667,15.309333,15.309333,238536000
11/26/15,15.404,15.906667,15.134,15.466,15.466,169870500
12/3/15,15.698667,15.83,14.714667,14.968,14.968,216042000
12/10/15,14.980667,15.658667,14.324667,15.634,15.634,232743000
12/17/15,15.596,15.850667,15.208667,15.313333,15.313333,176737500
12/24/15,15.370667,16.242001,15.036,15.872667,15.872667,130702500
12/31/15,15.900667,16.23,14.398667,14.602667,14.602667,247620000
1/7/16,14.279333,14.696,13.333333,13.354,13.354,277381500
1/14/16,13.480667,14.031333,12.75,13.246667,13.246667,329199000
1/21/16,13.436667,13.7,12.384667,12.538,12.538,263556000
1/28/16,12.719333,13.301333,11.345333,11.565333,11.565333,396715500
2/4/16,11.38,11.732,9.403333,9.578,9.578,632911500
2/11/16,10.133333,11.289333,9.58,11.245333,11.245333,493608000
2/18/16,11.494667,12.115333,10.833333,11.933333,11.933333,349306500
2/25/16,11.91,13.09,11.68,12.556,12.556,418341000
3/3/16,12.552,13.98,12.281333,13.914667,13.914667,360522000
3/10/16,14,14.838667,13.378,14.795333,14.795333,289477500
3/17/16,14.764667,15.992,14.666667,14.838667,14.838667,346009500
3/24/16,14.385333,15.7,14.333333,15.126,15.126,254008500
3/31/16,15.289333,17.849333,15.000667,17.694668,17.694668,887098500
4/7/16,17.763332,17.955999,16.242001,16.968666,16.968666,541059000
4/14/16,16.866667,17.220667,16.083332,16.664667,16.664667,355614000
4/21/16,16.599333,17.158667,16.380667,16.764668,16.764668,250039500
4/28/16,16.656668,16.895332,14.693333,14.837333,14.837333,371691000
5/5/16,15.230667,15.242667,13.666667,13.930667,13.930667,464233500
5/12/16,14.096,14.354,13.577333,14.078,14.078,268257000
5/19/16,14.241333,14.84,13.82,14.638667,14.638667,406747500
5/26/16,14.7,15.062,14.459333,14.637333,14.637333,202416000
6/2/16,14.639333,16.056667,14.363333,15.701333,15.701333,280453500
6/9/16,15.665333,15.688667,14.168667,14.513333,14.513333,318006000
6/16/16,14.494667,14.916667,13.05,13.110667,13.110667,560697000
6/23/16,13.046,14.118667,12.524667,14.012667,14.012667,548548500
6/30/16,14.198,14.549333,13.733333,14.296,14.296,305074500
7/7/16,14.206667,15.166667,14.200667,14.835333,14.835333,318825000
7/14/16,14.874667,15.32,14.553333,15.224,15.224,210085500
7/21/16,15.066667,15.557333,14.592,15.232667,15.232667,267271500
7/28/16,15.196667,15.775333,14.76,15.052667,15.052667,259926000
8/4/16,15.046,15.466667,14.803333,15.043333,15.043333,212428500
8/11/16,15.078,15.3,14.853333,14.882667,14.882667,146743500
8/18/16,14.921333,15.232667,14.814667,14.841333,14.841333,191919000
8/25/16,14.874,14.92,13.91,14.134,14.134,205698000
9/1/16,13.934,14.073333,13.08,13.447333,13.447333,329280000
9/8/16,13.303333,13.424667,12.896667,13.094,13.094,250410000
9/15/16,13.099333,13.962,13.093333,13.681333,13.681333,202927500
9/22/16,13.76,14.066667,13.533333,13.751333,13.751333,197161500
9/29/16,13.706667,14.378,13.303333,13.897333,13.897333,250983000
